start_ts,weather_conditions,duration_seconds
2017-11-11 18:00:00,Good,2220
2017-11-04 10:00:00,Good,2551
2017-11-11 07:00:00,Good,1200
2017-11-11 16:00:00,Good,2062
2017-11-04 12:00:00,Good,2999
2017-11-04 08:00:00,Good,1677
2017-11-04 06:00:00,Good,1177
2017-11-11 06:00:00,Good,1475
2017-11-04 18:00:00,Bad,1980
2017-11-04 15:00:00,Good,3201
2017-11-25 18:00:00,Good,2760
2017-11-11 09:00:00,Good,1380
2017-11-11 07:00:00,Good,1380
2017-11-18 08:00:00,Bad,1320
2017-11-25 08:00:00,Good,1277
2017-11-11 04:00:00,Good,1213
2017-11-18 13:00:00,Bad,4044
2017-11-04 21:00:00,Good,1680
2017-11-11 11:00:00,Good,2074
2017-11-04 16:00:00,Bad,2782
2017-11-11 16:00:00,Good,2591
2017-11-04 14:00:00,Good,3120
2017-11-11 08:00:00,Good,1260
2017-11-11 07:00:00,Good,1380
2017-11-11 10:00:00,Good,1440
2017-11-04 14:00:00,Good,3300
2017-11-04 14:00:00,Good,3240
2017-11-04 19:00:00,Good,1869
2017-11-11 06:00:00,Good,1218
2017-11-11 11:00:00,Good,1620
2017-11-11 10:00:00,Good,1380
2017-11-11 08:00:00,Good,1380
2017-11-11 09:00:00,Good,1380
2017-11-11 07:00:00,Good,1320
2017-11-11 13:00:00,Good,2123
2017-11-11 07:00:00,Good,1384
2017-11-11 10:00:00,Good,1260
2017-11-04 13:00:00,Good,3060
2017-11-18 15:00:00,Good,3480
2017-11-11 12:00:00,Good,2071
2017-11-18 12:00:00,Bad,3024
2017-11-11 11:00:00,Good,1380
2017-11-25 06:00:00,Good,1200
2017-11-18 13:00:00,Bad,3300
2017-11-11 13:00:00,Good,2100
2017-11-25 13:00:00,Good,1560
2017-11-04 12:00:00,Good,2760
2017-11-11 17:00:00,Good,2460
2017-11-11 10:00:00,Good,1740
2017-11-11 06:00:00,Good,1667
2017-11-18 18:00:00,Good,2056
2017-11-11 10:00:00,Good,1473
2017-11-11 14:00:00,Good,2340
2017-11-04 16:00:00,Bad,3180
2017-11-04 11:00:00,Good,2220
2017-11-18 14:00:00,Good,3540
2017-11-04 14:00:00,Good,2778
2017-11-18 06:00:00,Good,1420
2017-11-11 21:00:00,Good,1920
2017-11-04 14:00:00,Good,3480
2017-11-25 20:00:00,Good,1980
2017-11-18 10:00:00,Bad,2055
2017-11-11 12:00:00,Good,2240
2017-11-11 15:00:00,Good,2380
2017-11-11 17:00:00,Good,2160
2017-11-04 08:00:00,Good,1539
2017-11-25 10:00:00,Good,1591
2017-11-18 14:00:00,Good,2588
2017-11-11 03:00:00,Good,1162
2017-11-11 09:00:00,Good,0
2017-11-18 09:00:00,Bad,1260
2017-11-18 13:00:00,Bad,2940
2017-11-18 16:00:00,Bad,2340
2017-11-18 12:00:00,Bad,2220
2017-11-11 07:00:00,Good,0
2017-11-04 22:00:00,Good,1380
2017-11-04 12:00:00,Good,2220
2017-11-25 11:00:00,Good,1140
2017-11-11 10:00:00,Good,1239
2017-11-04 08:00:00,Good,1380
2017-11-04 14:00:00,Good,2820
2017-11-04 14:00:00,Good,3060
2017-11-04 16:00:00,Bad,3130
2017-11-18 15:00:00,Good,2877
2017-11-18 12:00:00,Bad,2934
2017-11-11 06:00:00,Good,1260
2017-11-04 16:00:00,Bad,3270
2017-11-18 19:00:00,Good,1860
2017-11-11 11:00:00,Good,2054
2017-11-11 16:00:00,Good,2293
2017-11-11 06:00:00,Good,1500
2017-11-04 15:00:00,Good,2880
2017-11-25 09:00:00,Good,1473
2017-11-25 04:00:00,Good,1384
2017-11-04 10:00:00,Good,2525
2017-11-04 08:00:00,Good,1323
2017-11-04 08:00:00,Good,1323
2017-11-04 12:00:00,Good,2160
2017-11-18 08:00:00,Bad,1500
2017-11-25 05:00:00,Good,1487
2017-11-04 06:00:00,Good,1020
2017-11-11 07:00:00,Good,1140
2017-11-18 10:00:00,Bad,1440
2017-11-04 10:00:00,Good,1883
2017-11-11 14:00:00,Good,2225
2017-11-18 11:00:00,Good,2415
2017-11-04 14:00:00,Good,3411
2017-11-18 12:00:00,Bad,2571
2017-11-04 12:00:00,Good,2640
2017-11-18 00:00:00,Bad,480
2017-11-18 19:00:00,Good,0
2017-11-11 10:00:00,Good,1414
2017-11-11 12:00:00,Good,1981
2017-11-11 08:00:00,Good,1200
2017-11-04 11:00:00,Good,2160
2017-11-11 15:00:00,Good,2400
2017-11-11 20:00:00,Good,1500
2017-11-18 14:00:00,Good,3660
2017-11-25 14:00:00,Good,1740
2017-11-04 18:00:00,Bad,2580
2017-11-11 16:00:00,Good,2940
2017-11-11 09:00:00,Good,1260
2017-11-04 08:00:00,Good,1380
2017-11-18 15:00:00,Good,3600
2017-11-18 17:00:00,Bad,2100
2017-11-18 07:00:00,Bad,1366
2017-11-04 10:00:00,Good,1717
2017-11-04 12:00:00,Good,2441
2017-11-04 10:00:00,Good,2479
2017-11-11 10:00:00,Good,1439
2017-11-04 06:00:00,Good,1207
2017-11-11 13:00:00,Good,1680
2017-11-18 06:00:00,Good,1440
2017-11-18 07:00:00,Bad,1560
2017-11-04 10:00:00,Good,2112
2017-11-11 15:00:00,Good,2160
2017-11-11 09:00:00,Good,1380
2017-11-04 07:00:00,Good,1200
2017-11-04 11:00:00,Good,2328
2017-11-04 18:00:00,Bad,2580
2017-11-04 05:00:00,Good,1620
2017-11-04 05:00:00,Good,1217
2017-11-11 08:00:00,Good,1237
2017-11-11 07:00:00,Good,1074
2017-11-18 11:00:00,Good,2120
2017-11-18 08:00:00,Bad,1404
2017-11-11 10:00:00,Good,1243
2017-11-18 05:00:00,Good,1226
2017-11-11 11:00:00,Good,2100
2017-11-11 05:00:00,Good,1320
2017-11-25 05:00:00,Good,1123
2017-11-11 05:00:00,Good,1504
2017-11-04 06:00:00,Good,1439
2017-11-18 16:00:00,Bad,2811
2017-11-18 11:00:00,Good,2094
2017-11-11 06:00:00,Good,1430
2017-11-11 06:00:00,Good,1260
2017-11-11 10:00:00,Good,1421
2017-11-18 12:00:00,Bad,3026
2017-11-04 10:00:00,Good,2006
2017-11-04 14:00:00,Good,3120
2017-11-25 12:00:00,Good,1380
2017-11-11 06:00:00,Good,1415
2017-11-18 13:00:00,Bad,3390
2017-11-18 14:00:00,Good,2994
2017-11-11 10:00:00,Good,1476
2017-11-11 11:00:00,Good,1620
2017-11-04 17:00:00,Bad,2640
2017-11-04 07:00:00,Good,1380
2017-11-25 12:00:00,Good,1332
2017-11-04 14:00:00,Good,2760
2017-11-04 17:00:00,Bad,2940
2017-11-25 12:00:00,Good,1260
2017-11-04 02:00:00,Good,2956
2017-11-11 04:00:00,Good,1304
2017-11-25 10:00:00,Good,1676
2017-11-11 06:00:00,Good,1380
2017-11-18 12:00:00,Bad,2700
2017-11-04 11:00:00,Good,2700
2017-11-04 06:00:00,Good,2928
2017-11-11 06:00:00,Good,3332
2017-11-04 13:00:00,Good,3008
2017-11-18 12:00:00,Bad,4980
2017-11-18 04:00:00,Good,1737
2017-11-18 06:00:00,Good,1380
2017-11-04 05:00:00,Good,1365
2017-11-25 06:00:00,Good,2842
2017-11-11 11:00:00,Good,1680
2017-11-11 10:00:00,Good,1872
2017-11-04 18:00:00,Bad,2255
2017-11-11 06:00:00,Good,1320
2017-11-04 16:00:00,Bad,2620
2017-11-04 12:00:00,Good,2740
2017-11-11 06:00:00,Good,1498
2017-11-11 09:00:00,Good,1443
2017-11-11 10:00:00,Good,1200
2017-11-04 12:00:00,Good,2460
2017-11-11 07:00:00,Good,1440
2017-11-18 06:00:00,Good,1680
2017-11-04 14:00:00,Good,3360
2017-11-11 08:00:00,Good,1404
2017-11-18 15:00:00,Good,3660
2017-11-04 17:00:00,Bad,2640
2017-11-04 16:00:00,Bad,2981
2017-11-25 07:00:00,Good,1363
2017-11-04 09:00:00,Good,1839
2017-11-04 06:00:00,Good,1500
2017-11-11 07:00:00,Good,1500
2017-11-18 11:00:00,Good,2412
2017-11-18 14:00:00,Good,3780
2017-11-11 18:00:00,Good,3900
2017-11-04 12:00:00,Good,2897
2017-11-18 06:00:00,Good,1201
2017-11-04 10:00:00,Good,2444
2017-11-11 12:00:00,Good,1860
2017-11-04 12:00:00,Good,2460
2017-11-04 18:00:00,Bad,2220
2017-11-04 16:00:00,Bad,2995
2017-11-25 11:00:00,Good,1643
2017-11-11 11:00:00,Good,1530
2017-11-11 06:00:00,Good,1441
2017-11-04 11:00:00,Good,2425
2017-11-11 05:00:00,Good,1386
2017-11-25 18:00:00,Good,2280
2017-11-18 13:00:00,Bad,3317
2017-11-25 14:00:00,Good,1758
2017-11-04 14:00:00,Good,3000
2017-11-04 06:00:00,Good,1496
2017-11-18 14:00:00,Good,2940
2017-11-11 11:00:00,Good,1740
2017-11-04 12:00:00,Good,3057
2017-11-04 11:00:00,Good,2611
2017-11-04 14:00:00,Good,3887
2017-11-04 12:00:00,Good,2400
2017-11-25 09:00:00,Good,1320
2017-11-11 09:00:00,Good,1623
2017-11-11 10:00:00,Good,1554
2017-11-25 06:00:00,Good,1391
2017-11-04 07:00:00,Good,1140
2017-11-11 06:00:00,Good,1260
2017-11-18 06:00:00,Good,1740
2017-11-11 08:00:00,Good,1380
2017-11-11 10:00:00,Good,1560
2017-11-04 16:00:00,Bad,2880
2017-11-25 16:00:00,Good,1620
2017-11-11 17:00:00,Good,2040
2017-11-18 08:00:00,Bad,1440
2017-11-25 15:00:00,Good,1672
2017-11-11 16:00:00,Good,2141
2017-11-11 06:00:00,Good,1260
2017-11-04 17:00:00,Bad,2880
2017-11-11 17:00:00,Good,2271
2017-11-11 18:00:00,Good,2606
2017-11-11 17:00:00,Good,2460
2017-11-11 12:00:00,Good,1800
2017-11-04 06:00:00,Good,1547
2017-11-11 08:00:00,Good,1320
2017-11-11 17:00:00,Good,2580
2017-11-11 14:00:00,Good,2280
2017-11-25 18:00:00,Good,4140
2017-11-25 11:00:00,Good,7440
2017-11-11 16:00:00,Good,2400
2017-11-04 16:00:00,Bad,2618
2017-11-04 05:00:00,Good,1320
2017-11-18 16:00:00,Bad,2820
2017-11-18 16:00:00,Bad,2820
2017-11-04 14:00:00,Good,2940
2017-11-04 14:00:00,Good,2940
2017-11-11 15:00:00,Good,2274
2017-11-04 07:00:00,Good,1440
2017-11-11 10:00:00,Good,1709
2017-11-04 12:00:00,Good,2761
2017-11-11 14:00:00,Good,2400
2017-11-11 11:00:00,Good,1620
2017-11-11 06:00:00,Good,1354
2017-11-04 06:00:00,Good,1473
2017-11-11 09:00:00,Good,1200
2017-11-11 11:00:00,Good,1596
2017-11-04 19:00:00,Good,2037
2017-11-04 14:00:00,Good,3180
2017-11-25 15:00:00,Good,2040
2017-11-11 20:00:00,Good,1980
2017-11-11 04:00:00,Good,1620
2017-11-18 08:00:00,Bad,1680
2017-11-04 08:00:00,Good,1686
2017-11-18 14:00:00,Good,2940
2017-11-11 07:00:00,Good,1261
2017-11-18 12:00:00,Bad,2640
2017-11-11 11:00:00,Good,1140
2017-11-11 14:00:00,Good,2040
2017-11-11 11:00:00,Good,1440
2017-11-04 12:00:00,Good,2520
2017-11-04 16:00:00,Bad,3000
2017-11-11 06:00:00,Good,1380
2017-11-18 10:00:00,Bad,1610
2017-11-25 12:00:00,Good,1708
2017-11-18 05:00:00,Good,1422
2017-11-25 12:00:00,Good,1500
2017-11-18 10:00:00,Bad,1740
2017-11-04 14:00:00,Good,2982
2017-11-18 07:00:00,Bad,1322
2017-11-04 16:00:00,Bad,2894
2017-11-25 07:00:00,Good,1217
2017-11-04 17:00:00,Bad,2340
2017-11-11 17:00:00,Good,2640
2017-11-11 06:00:00,Good,1560
2017-11-04 14:00:00,Good,3427
2017-11-04 11:00:00,Good,2418
2017-11-04 18:00:00,Bad,2458
2017-11-11 14:00:00,Good,2400
2017-11-11 12:00:00,Good,1961
2017-11-11 18:00:00,Good,2885
2017-11-04 06:00:00,Good,1293
2017-11-11 08:00:00,Good,1320
2017-11-11 11:00:00,Good,1320
2017-11-04 15:00:00,Good,3615
2017-11-04 16:00:00,Bad,3420
2017-11-11 06:00:00,Good,1270
2017-11-11 07:00:00,Good,1335
2017-11-11 04:00:00,Good,1219
2017-11-18 05:00:00,Good,1336
2017-11-25 06:00:00,Good,1331
2017-11-11 09:00:00,Good,1571
2017-11-25 12:00:00,Good,2286
2017-11-04 07:00:00,Good,1563
2017-11-25 11:00:00,Good,1541
2017-11-25 11:00:00,Good,1680
2017-11-11 18:00:00,Good,3180
2017-11-11 04:00:00,Good,1338
2017-11-11 08:00:00,Good,1440
2017-11-11 13:00:00,Good,420
2017-11-11 07:00:00,Good,1440
2017-11-11 07:00:00,Good,1443
2017-11-11 12:00:00,Good,2700
2017-11-25 06:00:00,Good,1372
2017-11-04 10:00:00,Good,2286
2017-11-04 08:00:00,Good,1421
2017-11-04 13:00:00,Good,3203
2017-11-11 07:00:00,Good,1419
2017-11-11 14:00:00,Good,2220
2017-11-18 05:00:00,Good,1346
2017-11-25 12:00:00,Good,1553
2017-11-25 15:00:00,Good,2204
2017-11-04 14:00:00,Good,3528
2017-11-11 13:00:00,Good,2262
2017-11-11 14:00:00,Good,2100
2017-11-11 08:00:00,Good,1380
2017-11-11 13:00:00,Good,2091
2017-11-11 08:00:00,Good,1205
2017-11-18 03:00:00,Good,1259
2017-11-18 04:00:00,Good,1134
2017-11-04 10:00:00,Good,2694
2017-11-04 12:00:00,Good,2410
2017-11-11 09:00:00,Good,1440
2017-11-18 11:00:00,Good,2520
2017-11-18 10:00:00,Bad,1560
2017-11-11 06:00:00,Good,1200
2017-11-25 15:00:00,Good,2220
2017-11-25 17:00:00,Good,2160
2017-11-25 12:00:00,Good,1620
2017-11-04 10:00:00,Good,1860
2017-11-04 16:00:00,Bad,2820
2017-11-04 13:00:00,Good,3394
2017-11-11 14:00:00,Good,2820
2017-11-11 14:00:00,Good,2820
2017-11-11 10:00:00,Good,1560
2017-11-11 10:00:00,Good,1560
2017-11-11 12:00:00,Good,1968
2017-11-04 05:00:00,Good,1200
2017-11-04 10:00:00,Good,1860
2017-11-11 06:00:00,Good,1380
2017-11-11 18:00:00,Good,2460
2017-11-04 19:00:00,Good,1602
2017-11-25 07:00:00,Good,1409
2017-11-25 13:00:00,Good,1740
2017-11-11 17:00:00,Good,2460
2017-11-11 06:00:00,Good,1310
2017-11-18 07:00:00,Bad,1594
2017-11-11 14:00:00,Good,2412
2017-11-11 17:00:00,Good,2193
2017-11-11 09:00:00,Good,1874
2017-11-18 15:00:00,Good,2983
2017-11-04 14:00:00,Good,3540
2017-11-11 14:00:00,Good,2340
2017-11-11 07:00:00,Good,1200
2017-11-25 19:00:00,Good,2280
2017-11-11 11:00:00,Good,1380
2017-11-11 16:00:00,Good,2760
2017-11-18 15:00:00,Good,3000
2017-11-18 13:00:00,Bad,2700
2017-11-04 12:00:00,Good,3000
2017-11-18 13:00:00,Bad,3480
2017-11-04 17:00:00,Bad,2040
2017-11-18 10:00:00,Bad,1680
2017-11-11 14:00:00,Good,2280
2017-11-04 13:00:00,Good,2820
2017-11-18 12:00:00,Bad,2880
2017-11-04 16:00:00,Bad,2280
2017-11-11 15:00:00,Good,2285
2017-11-11 05:00:00,Good,1301
2017-11-18 12:00:00,Bad,3480
2017-11-18 16:00:00,Bad,2940
2017-11-18 16:00:00,Bad,2760
2017-11-18 10:00:00,Bad,1260
2017-11-11 11:00:00,Good,1736
2017-11-11 12:00:00,Good,2351
2017-11-11 16:00:00,Good,2220
2017-11-11 14:00:00,Good,2733
2017-11-04 17:00:00,Bad,2040
2017-11-11 17:00:00,Good,2100
2017-11-04 12:00:00,Good,2460
2017-11-18 13:00:00,Bad,2460
2017-11-04 14:00:00,Good,3510
2017-11-04 13:00:00,Good,2460
2017-11-11 16:00:00,Good,2560
2017-11-11 14:00:00,Good,2040
2017-11-11 06:00:00,Good,1277
2017-11-04 20:00:00,Good,2220
2017-11-18 14:00:00,Good,2760
2017-11-04 14:00:00,Good,3286
2017-11-11 15:00:00,Good,2800
2017-11-11 05:00:00,Good,1362
2017-11-04 12:00:00,Good,2577
2017-11-04 14:00:00,Good,3261
2017-11-04 17:00:00,Bad,2580
2017-11-04 09:00:00,Good,1878
2017-11-04 10:00:00,Good,2697
2017-11-04 15:00:00,Good,3351
2017-11-25 09:00:00,Good,1513
2017-11-18 06:00:00,Good,1260
2017-11-18 08:00:00,Bad,1500
2017-11-04 11:00:00,Good,1800
2017-11-11 06:00:00,Good,1395
2017-11-18 05:00:00,Good,1977
2017-11-04 06:00:00,Good,1620
2017-11-18 08:00:00,Bad,1740
2017-11-25 10:00:00,Good,1440
2017-11-18 12:00:00,Bad,2220
2017-11-18 17:00:00,Bad,2133
2017-11-18 16:00:00,Bad,3240
2017-11-04 11:00:00,Good,2895
2017-11-11 06:00:00,Good,1380
2017-11-11 12:00:00,Good,2122
2017-11-11 10:00:00,Good,1432
2017-11-11 16:00:00,Good,2427
2017-11-04 12:00:00,Good,2700
2017-11-11 12:00:00,Good,1860
2017-11-04 05:00:00,Good,1200
2017-11-18 11:00:00,Good,1980
2017-11-18 06:00:00,Good,1500
2017-11-04 10:00:00,Good,1980
2017-11-04 14:00:00,Good,3059
2017-11-11 11:00:00,Good,1832
2017-11-04 08:00:00,Good,1757
2017-11-04 15:00:00,Good,3396
2017-11-18 12:00:00,Bad,3461
2017-11-04 10:00:00,Good,2333
2017-11-11 13:00:00,Good,2103
2017-11-04 01:00:00,Good,0
2017-11-11 12:00:00,Good,2330
2017-11-25 16:00:00,Good,2563
2017-11-11 07:00:00,Good,1203
2017-11-04 16:00:00,Bad,2761
2017-11-11 12:00:00,Good,2029
2017-11-04 06:00:00,Good,1351
2017-11-11 14:00:00,Good,2640
2017-11-11 06:00:00,Good,1380
2017-11-04 07:00:00,Good,1260
2017-11-04 10:00:00,Good,1975
2017-11-11 06:00:00,Good,1200
2017-11-11 05:00:00,Good,1296
2017-11-04 04:00:00,Good,1440
2017-11-11 08:00:00,Good,1440
2017-11-11 12:00:00,Good,2133
2017-11-18 12:00:00,Bad,2580
2017-11-18 15:00:00,Good,2889
2017-11-04 08:00:00,Good,1800
2017-11-18 10:00:00,Bad,2280
2017-11-25 17:00:00,Good,2340
2017-11-18 07:00:00,Bad,1380
2017-11-04 11:00:00,Good,2531
2017-11-11 08:00:00,Good,1500
2017-11-04 18:00:00,Bad,2280
2017-11-04 17:00:00,Bad,2580
2017-11-11 14:00:00,Good,3614
2017-11-18 14:00:00,Good,2722
2017-11-04 13:00:00,Good,3420
2017-11-11 08:00:00,Good,1320
2017-11-04 17:00:00,Bad,2330
2017-11-11 16:00:00,Good,4980
2017-11-11 07:00:00,Good,1320
2017-11-18 06:00:00,Good,1800
2017-11-18 08:00:00,Bad,1620
2017-11-04 14:00:00,Good,3240
2017-11-04 18:00:00,Bad,2580
2017-11-18 12:00:00,Bad,2606
2017-11-04 12:00:00,Good,2460
2017-11-18 14:00:00,Good,2825
2017-11-11 10:00:00,Good,1622
2017-11-11 12:00:00,Good,2015
2017-11-11 08:00:00,Good,1417
2017-11-04 12:00:00,Good,3420
2017-11-11 15:00:00,Good,2280
2017-11-04 06:00:00,Good,1282
2017-11-11 15:00:00,Good,3094
2017-11-04 16:00:00,Bad,3180
2017-11-04 12:00:00,Good,2520
2017-11-25 03:00:00,Good,1374
2017-11-11 16:00:00,Good,2220
2017-11-11 08:00:00,Good,1140
2017-11-18 14:00:00,Good,2757
2017-11-04 15:00:00,Good,3420
2017-11-18 10:00:00,Bad,1260
2017-11-11 16:00:00,Good,2213
2017-11-11 09:00:00,Good,1344
2017-11-11 07:00:00,Good,1243
2017-11-11 12:00:00,Good,1794
2017-11-11 15:00:00,Good,2700
2017-11-11 08:00:00,Good,1320
2017-11-04 10:00:00,Good,1620
2017-11-04 14:00:00,Good,3460
2017-11-04 16:00:00,Bad,3000
2017-11-04 16:00:00,Bad,3300
2017-11-04 12:00:00,Good,2760
2017-11-11 14:00:00,Good,2340
2017-11-25 14:00:00,Good,6420
2017-11-11 10:00:00,Good,1200
2017-11-25 18:00:00,Good,2345
2017-11-04 20:00:00,Good,1860
2017-11-11 12:00:00,Good,1620
2017-11-11 08:00:00,Good,1740
2017-11-04 16:00:00,Bad,3540
2017-11-04 08:00:00,Good,1260
2017-11-11 04:00:00,Good,1140
2017-11-18 07:00:00,Bad,1200
2017-11-04 06:00:00,Good,1472
2017-11-11 06:00:00,Good,1280
2017-11-18 12:00:00,Bad,2877
2017-11-11 10:00:00,Good,1412
2017-11-25 08:00:00,Good,1260
2017-11-04 06:00:00,Good,1260
2017-11-11 15:00:00,Good,2196
2017-11-18 14:00:00,Good,3480
2017-11-11 14:00:00,Good,2400
2017-11-18 07:00:00,Bad,1608
2017-11-25 16:00:00,Good,2091
2017-11-04 18:00:00,Bad,2332
2017-11-11 14:00:00,Good,2100
2017-11-11 12:00:00,Good,1980
2017-11-25 16:00:00,Good,2203
2017-11-11 14:00:00,Good,2040
2017-11-18 18:00:00,Good,2460
2017-11-11 13:00:00,Good,4380
2017-11-25 23:00:00,Good,1500
2017-11-11 18:00:00,Good,2675
2017-11-04 13:00:00,Good,2640
2017-11-18 10:00:00,Bad,2333
2017-11-18 14:00:00,Good,3172
2017-11-04 17:00:00,Bad,2340
2017-11-11 10:00:00,Good,1516
2017-11-04 14:00:00,Good,3840
2017-11-04 08:00:00,Good,1260
2017-11-11 06:00:00,Good,1440
2017-11-11 08:00:00,Good,1260
2017-11-18 12:00:00,Bad,2700
2017-11-18 05:00:00,Good,1320
2017-11-11 07:00:00,Good,1355
2017-11-11 10:00:00,Good,1465
2017-11-11 12:00:00,Good,1933
2017-11-11 15:00:00,Good,2010
2017-11-04 08:00:00,Good,1740
2017-11-11 09:00:00,Good,1620
2017-11-11 10:00:00,Good,1260
2017-11-11 13:00:00,Good,2040
2017-11-04 15:00:00,Good,3300
2017-11-11 10:00:00,Good,1380
2017-11-04 09:00:00,Good,1594
2017-11-11 13:00:00,Good,2256
2017-11-18 17:00:00,Bad,3022
2017-11-04 12:00:00,Good,3540
2017-11-04 17:00:00,Bad,2580
2017-11-04 14:00:00,Good,3840
2017-11-04 16:00:00,Bad,2765
2017-11-11 15:00:00,Good,2540
2017-11-04 16:00:00,Bad,3058
2017-11-11 16:00:00,Good,2400
2017-11-11 16:00:00,Good,2400
2017-11-04 06:00:00,Good,1267
2017-11-04 06:00:00,Good,1267
2017-11-04 17:00:00,Bad,2151
2017-11-04 17:00:00,Bad,2151
2017-11-04 10:00:00,Good,2550
2017-11-11 09:00:00,Good,1260
2017-11-11 06:00:00,Good,1320
2017-11-11 16:00:00,Good,2640
2017-11-11 11:00:00,Good,1440
2017-11-25 17:00:00,Good,2700
2017-11-18 15:00:00,Good,2880
2017-11-04 21:00:00,Good,1800
2017-11-04 12:00:00,Good,2580
2017-11-04 16:00:00,Bad,3420
2017-11-11 06:00:00,Good,1500
2017-11-04 18:00:00,Bad,2172
2017-11-11 10:00:00,Good,1560
2017-11-11 10:00:00,Good,1920
2017-11-18 12:00:00,Bad,2640
2017-11-18 12:00:00,Bad,2640
2017-11-11 14:00:00,Good,2460
2017-11-11 07:00:00,Good,1260
2017-11-04 15:00:00,Good,3360
2017-11-04 19:00:00,Good,2400
2017-11-04 10:00:00,Good,1680
2017-11-04 12:00:00,Good,2880
2017-11-04 11:00:00,Good,2963
2017-11-18 11:00:00,Good,2178
2017-11-04 11:00:00,Good,2963
2017-11-18 14:00:00,Good,3540
2017-11-11 17:00:00,Good,2475
2017-11-04 12:00:00,Good,2575
2017-11-11 08:00:00,Good,1063
2017-11-11 12:00:00,Good,1747
2017-11-18 08:00:00,Bad,1417
2017-11-18 12:00:00,Bad,2175
2017-11-18 10:00:00,Bad,1560
2017-11-04 20:00:00,Good,2220
2017-11-18 12:00:00,Bad,3600
2017-11-11 10:00:00,Good,1200
2017-11-25 15:00:00,Good,2356
2017-11-04 09:00:00,Good,1934
2017-11-04 11:00:00,Good,2155
2017-11-11 11:00:00,Good,1211
2017-11-11 06:00:00,Good,1260
2017-11-04 15:00:00,Good,3214
2017-11-11 13:00:00,Good,2693
